targets,factors
STAT1, IFNG_e & ! ((SOCS1 | SOCS3) & ! STAT1)
STAT5, GMCSF_e & ! (STAT3_IL10 | (SOCS1 & ! STAT5))
IL1R,  IL1B_e
IL12_out,  STAT1 & (STAT5 | NFKB) & ! STAT3_IL10
FCGR,  (IC_e & LPS_e) | (IC_e & IL1B_e)
NFKB,  (IL1R | TLR4 | FCGR) & ! ( PPARG | STAT3_IL10| KLF4)
VEGF_out,  (TLR4 & NECA_e) & ! STAT1
TLR4,  LPS_e & ! FCGR
IL6_out,   NFKB & STAT3_IL6
KLF4,  STAT6
STAT6, IL4_e & ! (SOCS1 & ! STAT6)
IL10_out,  (STAT3_IL10 | (PPARG & STAT6) | FCGR) & ! STAT1
SOCS1, STAT1 | STAT5 | STAT6
PPARG, STAT6
STAT3_IL6, IL6R
STAT3_IL10,IL10R & ! FCGR
SOCS3, (STAT1 | STAT3_IL6 | STAT3_IL10 | STAT6) & ! EGFR_e
IL6R,  (IL6_e | IL6_out) & !SOCS3
IL10R, IL10_e | IL10_out
IFNG_e,IFNG_e
GMCSF_e,GMCSF_e
IL1B_e,IL1B_e
IC_e,IC_e
LPS_e,LPS_e
NECA_e,NECA_e
EGFR_e,EGFR_e
IL4_e,IL4_e
IL6_e,IL6_e
IL10_e,IL10_e
